ID,Cluster
12,1
48,1
50,1
51,1
59,1
64,1
65,1
66,1
68,1
70,4
71,1
72,1
73,4
74,1
75,4
76,4
78,1
79,1
80,1
81,1
83,1
85,1
86,1
87,1
88,4
89,1
90,1
91,1
92,1
93,4
94,1
95,1
96,4
97,4
98,4
99,1
100,4
101,1
102,1
103,1
104,4
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,4
114,1
115,1
116,1
117,1
118,1
119,1
120,4
121,1
122,1
123,1
124,1
125,4
126,1
127,1
128,4
129,1
130,1
131,1
132,1
133,4
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,4
146,1
147,1
148,4
149,1
150,1
151,1
152,4
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,4
163,1
164,1
165,1
166,1
167,1
168,4
169,1
170,1
171,4
172,1
173,1
174,4
175,1
176,1
177,0
178,1
179,1
180,4
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,4
192,1
193,1
194,4
195,1
196,4
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,4
208,0
209,1
210,4
211,1
212,1
213,4
214,4
215,1
216,4
217,4
218,1
219,1
220,4
221,1
222,1
223,1
224,4
225,1
226,4
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,4
237,1
238,1
239,1
240,1
241,4
242,1
243,1
244,1
245,1
246,1
247,1
248,4
249,4
250,1
251,4
252,4
253,4
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,4
263,1
264,1
265,1
266,4
267,1
268,1
269,1
270,4
271,1
272,1
273,4
274,4
275,1
276,1
277,1
278,4
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,4
287,4
288,1
289,4
290,1
291,1
292,4
293,1
294,1
295,1
296,4
297,1
298,1
299,1
300,4
301,1
302,1
303,1
304,1
305,4
306,1
307,1
308,1
309,1
310,4
311,1
312,1
313,1
314,4
315,1
316,1
317,4
318,1
319,1
320,4
321,4
322,1
323,1
324,1
325,1
326,1
327,4
328,4
329,1
330,1
331,1
332,1
333,4
334,1
335,1
336,1
337,4
338,4
339,1
340,1
341,1
342,1
343,1
344,1
345,4
346,1
347,1
348,1
349,4
350,4
351,1
352,1
353,4
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,4
364,4
365,1
366,4
367,4
368,4
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,4
377,4
378,1
379,4
380,4
381,1
382,1
383,4
384,4
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,4
396,4
397,1
398,4
399,1
400,4
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,4
409,3
410,1
411,4
412,1
413,4
414,1
415,1
416,4
417,4
418,1
419,1
420,1
421,4
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,4
435,4
436,1
437,1
438,0
439,1
440,4
441,1
442,0
443,1
444,4
445,0
446,1
447,1
448,1
449,1
450,4
451,1
452,4
453,4
454,1
455,1
456,4
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,4
467,1
468,1
469,1
470,4
471,1
472,1
473,1
474,1
475,4
476,4
477,1
478,1
479,1
480,4
481,1
482,4
483,1
484,4
485,1
486,0
487,4
488,1
489,4
490,4
491,4
492,1
493,1
494,4
495,1
496,4
497,1
498,1
499,1
500,4
501,1
502,1
503,1
504,4
505,1
506,1
507,1
508,4
509,4
510,1
511,1
512,1
513,1
514,4
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,4
528,1
529,1
530,1
531,1
532,4
533,4
534,4
535,1
536,1
537,4
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,4
547,1
548,1
549,1
550,4
551,1
552,4
553,1
554,1
555,1
556,1
557,4
558,1
559,1
560,4
561,1
562,4
563,1
564,1
565,4
566,1
567,0
568,1
569,1
570,0
571,1
572,4
573,4
574,1
575,1
576,1
577,1
578,1
579,4
580,4
581,1
582,1
583,1
584,1
585,1
586,1
587,4
588,0
589,1
590,4
591,1
592,4
593,1
594,1
595,4
596,1
597,4
598,1
599,1
600,1
601,4
602,1
603,1
604,1
605,1
606,4
607,1
608,1
609,1
610,1
611,1
612,4
613,1
614,1
615,4
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,4
624,1
625,4
626,1
627,1
628,1
629,0
630,1
631,1
632,1
633,1
634,4
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,4
643,1
644,1
645,1
646,4
647,4
648,1
649,1
650,1
651,0
652,1
653,4
654,4
655,1
656,0
657,1
658,4
659,4
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,4
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,4
679,1
680,1
681,0
682,1
683,1
684,1
685,4
686,4
687,4
688,1
689,1
690,1
691,1
692,1
693,1
694,4
695,1
696,4
697,1
698,1
699,1
700,4
701,4
702,1
703,1
704,1
705,0
706,1
707,4
708,1
709,1
710,4
711,1
712,1
713,1
714,1
715,1
716,1
717,4
718,4
719,0
720,1
721,1
722,4
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,4
734,1
735,4
736,1
737,1
738,4
739,1
740,4
741,1
742,1
743,4
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,4
753,4
754,1
755,4
756,1
757,1
758,4
759,1
760,1
761,4
762,1
763,1
764,1
765,4
766,1
767,4
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,4
778,1
779,4
780,4
781,4
782,1
783,1
784,4
785,1
786,4
787,4
788,1
789,4
790,1
791,1
792,4
793,4
794,1
795,0
796,0
797,4
798,1
799,1
800,4
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,4
809,1
810,0
811,1
812,1
813,1
814,1
815,4
816,1
817,1
818,4
819,1
820,1
821,1
822,1
823,1
824,4
825,1
826,4
827,4
828,4
829,1
830,1
831,1
832,4
833,1
834,4
835,1
836,1
837,1
838,4
839,1
840,1
841,1
842,4
843,1
844,1
845,1
846,1
847,1
848,1
849,4
850,4
851,1
852,1
853,4
854,1
855,1
856,4
857,1
858,4
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,4
867,1
868,4
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,0
877,1
878,1
879,4
880,1
881,1
882,1
883,4
884,1
885,0
886,4
887,4
888,1
889,4
890,1
891,4
892,1
893,1
894,4
895,4
896,4
897,1
898,4
899,4
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,4
909,4
910,1
911,1
912,1
913,1
914,4
915,4
916,4
917,1
918,1
919,1
920,4
921,4
922,4
923,1
924,1
925,4
926,1
927,1
928,1
929,4
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,4
943,1
944,1
945,1
946,1
947,1
948,4
949,4
950,1
951,1
952,1
953,1
954,1
955,4
956,4
957,4
958,1
959,1
960,4
961,1
962,1
963,4
964,4
965,1
966,4
967,4
968,1
969,1
970,1
971,1
972,4
973,1
974,1
975,1
976,4
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,4
987,1
988,4
989,1
990,1
991,4
992,1
993,0
994,1
995,4
996,4
997,4
998,1
999,1
1000,1
1001,1
1002,4
1003,4
1004,1
1005,4
1006,1
1007,1
1008,1
1009,1
1010,1
1011,4
1012,4
1013,1
1014,0
1015,1
1016,0
1017,1
1018,0
1019,1
1020,4
1021,4
1022,1
1023,4
1024,1
1025,4
1026,4
1027,4
1028,4
1029,1
1030,4
1031,1
1032,1
1033,0
1034,4
1035,1
1036,4
1037,1
1038,1
