ID,Cluster
82,1
95,1
96,1
105,4
114,1
124,0
130,0
133,1
135,1
139,1
142,1
143,1
146,1
147,0
148,4
149,0
150,1
151,1
152,4
154,0
155,1
156,4
157,4
158,0
161,1
164,1
165,1
166,4
167,4
168,1
170,1
171,1
172,1
173,1
174,1
175,1
176,4
177,1
178,4
179,1
180,1
181,1
182,1
183,0
184,1
186,4
187,1
188,1
189,1
190,1
191,1
192,1
193,4
194,1
195,1
196,4
197,1
198,1
199,1
200,1
201,1
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,4
222,1
223,0
224,4
225,1
226,4
227,1
228,1
229,4
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,4
245,4
246,1
247,1
248,1
249,0
250,4
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,4
264,1
265,1
266,4
267,1
268,1
269,1
270,1
271,1
272,4
273,1
274,1
275,1
276,1
277,1
278,4
279,1
280,4
281,1
282,0
283,1
284,1
285,4
286,1
287,1
288,1
289,1
290,1
291,1
292,4
293,1
294,4
295,1
296,0
297,1
298,1
299,1
300,4
301,1
302,1
303,1
304,1
305,4
306,4
307,1
308,1
309,1
310,4
311,0
312,1
313,4
314,0
315,1
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,4
327,4
328,1
329,1
330,1
331,1
332,4
333,1
334,1
335,1
336,4
337,1
338,1
339,1
340,0
341,1
342,0
343,1
344,1
345,1
346,1
348,1
349,1
350,1
351,4
352,1
353,1
354,1
355,1
356,1
357,1
358,4
359,0
360,1
361,4
362,1
363,4
364,4
365,4
366,1
367,1
368,1
369,1
370,1
371,4
372,1
373,1
374,1
375,0
376,1
377,4
378,1
379,1
380,4
381,1
382,0
383,1
384,4
385,1
386,1
387,1
388,0
389,1
390,4
391,1
392,1
393,1
394,0
395,1
396,1
397,4
398,1
399,1
400,1
401,1
402,1
403,0
404,1
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,1
415,0
416,1
417,1
418,1
419,0
420,1
421,0
422,1
423,1
424,0
425,1
426,1
427,1
428,4
429,4
430,1
431,1
432,1
433,4
434,1
435,1
436,4
437,1
438,0
439,1
440,1
441,1
442,4
443,4
444,1
445,1
446,4
447,4
448,1
449,4
450,1
451,1
452,1
453,1
454,1
455,4
456,1
457,1
458,1
459,1
460,4
461,1
462,1
463,0
464,1
465,1
466,4
467,1
468,1
469,1
470,4
471,1
472,1
473,0
474,1
475,0
476,1
477,4
478,0
479,1
480,1
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,4
492,1
493,1
494,1
495,1
496,1
497,4
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,4
510,4
511,1
512,4
513,1
514,4
515,1
516,1
517,1
518,4
519,1
520,1
521,4
522,1
523,1
524,4
525,1
526,4
527,4
528,1
529,1
530,4
531,4
532,1
533,4
534,1
535,1
536,1
537,4
538,4
539,1
540,1
541,1
542,4
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,4
564,1
565,4
566,1
567,1
568,1
569,0
570,1
571,1
572,0
573,4
574,1
575,4
576,1
577,1
578,1
579,1
580,4
581,1
582,4
583,0
584,1
585,1
586,1
587,4
588,0
589,0
590,1
591,4
592,1
593,1
594,4
595,4
596,4
597,1
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,1
606,1
607,4
608,4
609,1
610,4
611,1
612,1
613,4
614,4
615,1
616,1
617,1
618,4
619,1
620,4
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,4
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,4
641,1
642,1
643,1
644,1
645,1
646,1
647,4
648,1
649,4
650,1
651,4
652,1
653,4
654,1
655,1
656,1
657,1
658,1
659,4
660,1
661,4
662,0
663,1
664,1
665,1
668,4
669,0
670,1
671,1
672,4
673,0
674,1
675,4
676,4
677,0
678,1
679,4
680,1
681,1
682,1
683,1
684,1
685,4
686,1
687,1
688,1
689,1
690,1
691,1
692,0
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,4
702,1
703,4
704,1
705,1
706,1
707,1
708,1
709,0
710,4
711,1
712,1
713,1
714,1
715,1
716,0
717,1
718,1
719,1
720,1
721,1
722,4
723,1
724,1
725,1
726,1
727,4
728,0
729,1
730,1
731,1
732,1
733,4
734,4
735,1
736,1
737,4
738,1
739,1
740,0
741,4
742,0
743,1
744,4
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,4
753,4
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,4
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,4
774,1
775,1
776,1
777,1
778,1
779,0
780,4
781,1
782,4
783,1
784,1
785,0
786,1
787,1
788,0
789,1
790,4
791,4
792,1
793,4
794,1
795,1
796,1
797,1
798,1
799,4
800,4
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,4
816,4
817,1
818,1
819,4
820,1
821,1
822,1
823,1
824,4
825,4
826,1
827,4
828,1
829,4
830,1
831,1
832,1
833,1
834,1
835,4
836,1
837,1
838,4
839,1
840,4
841,1
842,4
843,4
844,4
845,4
846,1
847,4
848,1
849,1
850,1
851,1
852,1
853,1
854,4
855,1
856,1
857,4
858,1
859,1
860,4
861,1
862,1
863,1
864,1
865,0
866,4
867,1
868,4
869,4
870,1
871,1
872,1
873,4
874,1
875,1
876,1
877,1
878,1
879,4
880,4
881,1
882,1
883,4
884,1
885,1
886,1
887,4
888,1
889,0
890,1
891,1
892,1
893,1
894,1
895,1
896,4
897,1
898,1
899,1
900,1
901,1
902,1
903,4
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,4
915,1
916,1
917,4
918,1
919,0
920,4
921,1
922,1
923,1
924,1
925,4
926,1
927,1
928,1
929,4
930,4
931,4
932,4
933,1
934,1
935,0
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,4
950,1
951,1
952,1
953,4
954,1
955,4
956,1
957,4
958,1
959,1
960,1
961,1
962,1
963,4
964,1
965,1
966,4
967,1
968,1
969,4
970,1
971,1
972,1
973,1
974,1
975,4
976,1
977,1
978,1
979,4
980,1
981,1
982,1
983,4
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,4
992,1
993,4
994,1
995,4
996,1
997,1
998,1
999,1
1000,4
1001,4
1002,0
1003,4
1004,1
1005,4
1006,1
1007,4
1008,1
1009,1
1010,1
1011,4
1012,0
1013,1
1014,1
1015,1
1016,1
1017,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,4
1026,1
1027,1
1028,4
1029,1
1030,1
1031,4
1032,1
1033,4
1034,1
1035,4
1036,4
1037,4
1038,1
1039,1
1040,4
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,4
1053,1
1054,1
1055,1
1056,4
1057,1
1058,1
1059,1
1060,4
1061,4
1062,1
1063,1
1064,4
1065,1
1066,1
1067,1
1068,4
1069,1
1070,1
1071,1
1072,1
1073,4
1074,1
1075,1
1076,1
1077,0
1078,1
1079,4
1080,0
1081,1
1082,0
1084,1
1085,1
1086,1
1087,4
1088,1
1089,4
1090,4
1091,1
1092,0
1093,1
1094,1
1095,4
1096,0
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,4
1104,1
1105,4
1106,1
1107,4
1108,1
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,4
1116,1
1117,4
1118,1
1119,4
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,0
1127,4
1128,1
1129,4
1130,1
1131,4
1132,4
1133,1
1134,1
1135,1
1136,1
1137,1
1138,4
1139,4
1140,1
1141,1
1142,1
1143,1
1144,1
1145,0
1146,1
1147,1
1148,1
1149,4
1150,1
1151,1
1152,4
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,4
1162,1
1163,1
1164,1
1165,4
1166,1
1167,4
1168,1
1169,1
1170,4
1171,1
1172,1
1173,4
1174,4
1175,1
1176,4
1177,1
1178,1
1179,1
1180,0
1181,1
1182,1
1183,1
1184,1
1185,4
1186,1
1187,1
1188,4
1189,0
1190,4
1191,1
1192,0
1193,1
1194,4
1195,1
1196,1
1197,1
1198,1
1199,4
1200,1
1201,1
1202,1
1203,4
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1214,1
1215,1
1216,1
1217,1
1218,4
1219,4
1220,4
1221,1
1222,1
1223,1
1224,4
1225,4
1226,4
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,0
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,4
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,4
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,0
1258,1
1259,4
1260,1
1261,1
1262,1
1263,1
1264,4
1265,1
1266,1
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,4
1275,4
1276,1
1277,4
1278,1
1279,4
1280,1
1281,1
1282,1
1283,4
1284,1
1285,1
1286,1
1287,1
1288,1
1289,1
1290,1
1291,4
1292,4
1293,4
1294,1
1295,4
1296,4
1297,1
1298,1
1299,1
1300,0
1301,4
1302,4
1303,1
1304,4
1305,4
1306,1
1307,1
1308,1
1309,1
1310,1
1311,1
1312,1
1313,1
1314,1
1315,4
1316,1
1317,1
1318,1
1319,1
1320,1
1321,1
1322,1
1323,1
1324,1
1325,4
1326,1
1327,1
1328,4
1329,1
1330,1
1331,1
1332,4
1333,1
1334,1
1335,1
1336,1
1337,1
1338,4
1339,4
1340,4
1341,4
1342,4
1343,4
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,4
1352,1
1353,4
1354,1
1355,1
1356,1
1357,1
1358,4
1359,1
1360,1
1361,4
1362,1
1363,1
1364,4
1365,4
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,4
1373,1
1374,1
1375,0
1376,1
1377,4
1378,1
1379,1
1380,1
1381,4
1382,1
1383,1
1384,1
1385,1
1386,1
1387,4
1388,1
1389,1
1390,1
1391,0
1392,4
1393,1
1394,4
1395,4
1396,1
1397,4
1398,0
1399,1
1400,4
1401,1
1402,1
1403,1
1404,1
1405,0
1406,4
1407,1
1408,1
1409,1
1410,1
1411,4
1412,4
1413,4
1414,1
1415,1
1416,1
1417,4
1418,1
1419,1
1420,1
1421,1
1422,4
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,4
1433,1
1434,1
1435,1
1436,4
1437,1
1438,4
1439,1
1440,4
1441,1
1442,1
1443,1
1444,1
1445,1
1447,1
1448,4
1449,4
1450,4
1451,4
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,0
1459,4
1460,4
1461,4
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1472,4
1473,4
1474,1
1475,4
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,4
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,4
1492,1
1493,1
1494,1
1495,1
1496,1
1497,4
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,0
1505,1
1506,4
1507,4
1508,1
1509,1
1510,0
1511,1
1512,1
1513,1
1514,4
1515,4
1516,1
1517,1
1518,1
1519,1
1520,1
1521,4
1522,4
1523,1
1524,1
1525,1
1526,1
1527,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,1
1534,1
1535,4
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,4
1546,1
1547,4
1548,1
1549,4
1550,1
1551,1
1552,4
1553,1
1554,1
1555,4
1556,4
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,4
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,4
1573,1
1574,1
1575,4
1576,1
1577,1
1578,4
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,4
1588,1
1589,1
1590,1
1591,1
1592,4
1593,4
1594,1
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
1606,4
1607,4
1608,1
1609,1
1610,1
1611,1
1612,1
1613,4
1614,1
1615,1
1616,1
1617,1
