ID,Cluster
105,1
116,1
140,1
151,4
161,0
174,0
183,1
185,0
188,1
192,1
202,0
205,4
207,1
212,1
213,4
217,4
221,1
226,4
231,4
233,0
234,0
237,1
239,1
243,1
244,0
245,1
248,0
249,0
252,0
253,0
254,0
255,1
257,1
259,4
260,1
262,1
263,1
264,0
265,0
266,0
267,1
268,1
271,0
273,0
274,1
276,1
277,0
278,0
279,1
280,0
281,0
283,0
284,0
285,1
286,0
287,1
288,1
289,1
290,4
291,1
292,1
293,0
294,0
296,1
297,4
298,1
299,0
300,1
301,1
303,1
304,4
305,1
306,4
308,0
309,1
310,0
311,4
312,1
314,0
315,4
317,1
318,0
319,4
320,4
321,0
322,0
323,4
324,1
325,0
326,1
327,4
328,1
329,1
330,1
332,1
333,1
334,0
335,0
336,4
337,0
338,1
339,1
340,1
341,1
342,1
344,1
345,0
346,0
347,4
348,0
349,1
351,1
352,1
353,0
354,4
356,0
357,1
358,0
359,1
360,1
361,1
362,1
363,4
364,1
365,1
366,4
367,1
369,1
370,1
371,1
372,0
373,1
374,4
375,1
376,1
377,4
378,1
379,0
380,1
381,1
382,1
383,1
385,1
386,1
387,1
388,0
389,4
390,1
391,1
392,4
393,4
394,1
395,4
396,1
397,4
398,1
399,1
400,4
401,0
402,0
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,0
411,1
412,0
413,0
414,1
415,4
416,0
417,1
418,1
419,4
420,4
421,0
422,1
423,4
424,1
425,0
426,0
427,1
428,1
429,1
430,0
431,0
432,1
433,4
434,1
435,1
436,1
437,1
438,1
439,0
440,0
441,4
442,4
443,1
444,1
445,4
446,4
447,4
448,1
449,1
450,0
451,0
452,4
453,1
454,0
455,1
456,0
457,1
458,1
459,1
460,0
461,4
462,1
463,4
464,0
465,4
466,1
467,0
468,4
469,1
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,1
478,1
479,4
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,4
488,1
489,1
490,1
491,0
492,1
493,1
494,1
495,0
496,1
497,4
498,1
499,1
500,0
501,1
502,4
503,0
504,4
505,1
506,4
507,4
508,1
509,1
510,0
511,1
512,1
513,0
514,1
515,1
516,1
517,0
518,0
519,1
520,1
521,0
522,1
523,0
524,0
525,0
526,0
527,1
528,1
529,1
530,4
531,4
532,4
533,1
534,0
535,1
536,0
537,4
538,0
539,1
540,4
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,4
554,4
555,1
556,1
557,1
558,4
559,1
560,1
561,1
562,1
563,1
564,0
565,0
566,1
567,1
568,1
569,0
570,0
571,0
572,1
573,1
574,4
575,1
576,1
577,1
578,1
579,1
580,4
581,1
582,1
583,4
584,1
585,4
586,4
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,4
595,4
596,1
597,0
598,1
599,0
600,4
601,1
602,1
603,1
604,0
605,0
606,0
607,4
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,1
616,1
617,0
618,1
619,0
620,1
621,4
622,1
623,1
624,0
625,4
626,4
627,1
628,4
629,1
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,1
638,4
639,1
640,1
641,0
642,1
643,0
644,1
645,0
646,1
647,1
648,1
649,4
650,0
651,1
652,1
653,1
654,1
655,1
656,0
657,0
658,4
659,1
660,4
661,0
662,1
663,1
664,1
665,1
666,0
667,0
668,4
669,1
670,1
671,4
672,1
673,1
674,1
675,0
676,1
677,1
678,1
679,0
