ID,Cluster
79,1
149,0
226,1
228,0
230,0
233,1
238,1
242,0
245,1
250,1
254,0
256,1
260,1
263,1
266,0
268,1
271,0
273,1
274,0
275,1
277,1
279,1
280,4
281,4
282,1
284,0
285,1
287,0
290,1
291,0
292,0
294,0
295,1
297,1
298,1
299,1
300,4
302,0
303,0
305,1
306,0
307,1
308,4
309,1
310,1
311,1
312,0
313,1
316,0
317,4
318,1
320,1
321,0
322,1
323,0
324,4
325,0
326,1
327,1
328,0
329,4
330,1
331,1
332,1
333,0
334,4
335,0
336,4
337,0
338,0
339,0
340,1
341,1
343,0
344,0
345,0
346,1
347,0
348,4
349,0
350,1
352,1
353,0
355,0
356,4
357,1
358,1
359,4
360,0
361,0
362,0
364,0
365,1
366,1
367,1
369,4
370,0
371,1
372,1
373,0
374,1
375,0
377,0
378,1
379,1
380,1
381,0
382,0
383,1
384,1
385,0
386,0
387,4
388,1
389,0
390,0
391,1
392,1
393,0
394,4
395,1
396,0
397,1
398,1
399,0
400,0
401,4
403,1
404,1
405,4
406,1
407,0
408,1
409,1
410,1
411,4
412,2
413,0
414,0
415,1
416,4
417,0
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,0
426,4
427,1
428,0
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,0
439,0
440,1
441,1
443,1
444,0
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,0
453,0
454,4
455,0
456,0
457,4
458,1
459,4
460,1
461,1
462,1
463,1
464,0
465,0
466,1
467,1
468,0
469,0
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,4
479,0
480,0
481,1
482,1
483,1
484,1
485,1
486,1
487,4
488,1
489,0
490,0
491,0
492,1
493,0
494,4
495,1
496,0
497,1
498,1
499,1
500,1
501,1
502,0
503,1
504,0
505,0
506,0
507,4
508,1
509,1
510,1
511,0
512,0
513,4
514,1
515,0
516,0
517,1
518,1
519,0
520,0
522,4
523,1
524,1
525,0
526,1
527,0
528,0
529,1
530,1
531,4
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,0
542,0
543,1
544,4
545,1
546,1
547,1
548,4
549,4
550,0
551,0
552,1
553,1
554,1
555,0
556,0
557,1
558,1
559,1
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,0
568,0
569,1
570,0
571,1
572,1
573,1
574,0
575,0
576,0
577,1
578,0
579,1
580,4
581,1
582,1
583,1
584,4
585,1
586,1
587,4
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,4
596,4
597,4
598,1
599,1
600,1
601,0
602,1
603,0
604,0
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,0
615,0
616,0
617,1
618,0
619,4
620,0
621,4
622,0
623,1
624,0
625,1
626,4
627,1
628,1
629,1
630,1
631,0
632,0
633,4
634,1
635,4
636,0
637,0
638,1
639,0
640,1
641,1
642,1
643,0
644,1
645,0
646,1
647,0
