ID,Cluster
51,1
68,1
92,1
104,1
120,1
122,1
133,1
146,1
183,1
206,1
236,4
241,1
244,0
264,2
274,1
277,4
278,0
281,1
283,0
288,1
291,1
293,1
294,1
295,2
297,1
303,1
305,4
308,1
309,1
310,2
311,1
312,1
313,1
314,1
315,1
318,1
322,1
323,1
325,1
326,0
327,2
328,1
329,1
330,4
331,1
332,1
334,0
336,1
337,3
338,1
339,2
340,2
341,1
342,4
343,2
344,2
345,0
346,2
349,1
350,1
351,4
353,2
354,1
356,2
358,1
359,4
360,4
361,0
362,2
363,1
364,1
365,2
366,1
367,1
368,1
370,3
371,1
373,1
374,2
375,1
376,0
377,2
379,2
380,2
381,1
382,1
383,4
384,1
386,1
387,0
388,1
389,1
390,2
391,1
392,1
393,1
394,2
395,1
396,0
397,2
398,4
400,1
401,4
402,1
403,2
404,4
405,1
406,2
407,4
408,4
409,2
410,1
411,1
412,1
413,1
414,2
415,0
416,1
417,4
418,1
419,2
420,2
421,4
422,1
424,3
425,2
426,1
427,4
428,2
429,4
430,1
431,2
432,1
433,2
434,4
435,1
436,2
437,1
438,3
439,1
440,2
441,4
442,1
443,1
444,1
445,0
446,2
447,1
448,2
450,1
451,1
452,1
453,2
454,2
455,0
456,1
457,2
458,1
459,1
460,1
461,2
462,1
463,1
464,2
465,1
466,1
467,2
468,2
469,1
470,1
471,2
472,1
473,1
474,2
475,2
476,1
477,2
478,1
479,3
480,2
481,2
482,4
483,4
484,2
485,0
486,1
487,0
488,1
489,1
490,2
491,2
492,1
493,1
494,1
495,4
496,0
497,1
498,1
499,1
500,1
501,2
502,0
503,1
504,1
505,4
506,2
508,1
509,1
510,1
511,2
512,1
513,2
514,3
515,1
516,1
517,1
518,1
519,1
520,0
521,4
522,2
523,0
524,2
525,1
526,2
527,4
528,2
529,1
530,1
531,1
532,2
533,0
534,2
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,0
544,3
545,1
546,1
547,1
548,4
549,1
550,2
551,2
552,1
553,2
554,1
555,4
556,0
557,3
558,2
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,4
569,3
570,2
571,1
572,1
573,4
574,1
575,1
576,1
577,1
578,1
579,0
580,2
581,1
582,1
583,3
584,1
585,1
586,2
587,2
588,2
589,1
590,2
591,1
592,1
593,3
594,1
595,1
596,1
597,1
598,2
599,1
600,2
601,2
602,1
603,1
604,1
605,1
606,1
607,2
608,4
609,1
610,1
611,1
612,1
613,3
614,3
615,4
616,0
617,1
618,1
619,0
620,1
621,1
622,4
623,1
624,1
625,1
626,4
627,1
628,1
629,1
630,2
631,0
632,4
633,2
634,1
635,1
636,2
637,1
638,4
639,2
640,1
641,1
642,1
643,0
644,1
645,2
646,2
647,2
648,2
649,2
650,2
651,1
652,2
653,1
654,1
655,1
656,2
657,1
659,4
660,2
661,4
662,3
663,1
664,1
665,1
666,1
667,4
668,1
669,1
670,1
671,1
672,2
673,1
674,4
675,0
676,1
677,4
678,2
679,1
680,1
681,2
682,1
683,0
684,2
685,4
686,1
687,2
688,1
689,0
690,0
691,4
692,4
693,0
694,1
695,1
696,4
697,1
698,0
699,4
700,3
701,1
702,2
703,2
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,1
714,0
715,2
716,0
717,0
718,1
719,1
720,0
721,1
722,1
723,1
724,1
725,4
726,0
727,4
728,1
729,1
730,1
731,4
732,1
733,2
734,1
735,1
736,2
737,1
738,1
739,4
740,1
741,1
742,2
743,1
744,2
745,2
746,2
747,1
748,1
749,1
750,1
751,1
752,2
753,2
754,4
755,1
756,3
757,0
758,1
759,2
760,1
761,1
762,0
763,3
764,0
765,1
766,4
767,1
768,2
769,1
770,1
771,1
772,2
773,0
774,1
775,1
776,1
777,2
778,2
779,1
780,1
781,2
782,1
783,1
784,0
785,1
786,1
787,1
788,2
789,2
790,0
791,2
792,2
793,1
794,1
795,3
796,1
797,2
798,1
799,1
800,1
801,1
802,1
803,1
804,3
805,0
806,1
807,1
808,2
809,1
810,1
811,2
812,2
813,1
814,1
815,2
816,1
817,0
818,1
819,2
820,2
821,2
822,1
823,2
824,3
825,2
826,2
827,2
828,2
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,2
838,3
839,1
840,1
841,1
842,4
843,2
844,2
845,1
846,1
847,1
848,1
849,0
850,1
851,1
852,1
853,1
854,1
855,2
856,4
857,2
858,0
859,4
860,1
861,1
862,2
863,1
864,4
865,3
866,1
867,2
868,0
870,2
871,1
872,1
873,1
874,1
875,1
876,1
877,4
878,2
879,1
880,2
881,4
882,4
883,2
884,2
885,1
886,1
887,1
888,1
889,2
890,2
891,1
892,1
893,1
894,1
895,1
896,1
897,4
898,3
899,1
900,2
901,0
902,1
903,1
904,1
905,1
906,4
907,4
908,1
909,4
910,0
911,1
912,1
913,1
914,1
915,2
916,4
917,1
918,1
919,1
920,2
921,2
922,0
923,1
924,2
925,1
926,1
927,2
928,1
929,1
930,1
931,2
932,2
933,2
934,0
935,1
936,2
937,3
938,0
939,1
940,1
941,2
942,2
943,1
944,1
945,0
946,0
947,2
948,1
949,1
950,4
951,1
952,1
953,4
954,1
955,1
956,2
957,0
958,1
959,1
960,1
961,2
962,1
963,1
964,1
965,2
966,1
967,0
968,2
969,1
970,1
971,1
972,1
973,2
974,3
975,1
976,1
977,1
978,1
979,0
980,1
981,2
982,1
983,0
984,0
985,1
986,2
987,2
988,1
989,1
990,1
991,1
992,1
993,1
994,4
995,4
996,1
997,1
998,4
999,2
1000,2
1001,1
1002,1
1003,2
1004,1
1005,1
1007,4
1008,1
1009,4
1010,1
1011,0
1012,4
1013,0
1014,1
1015,1
1016,1
1017,1
1018,1
1019,2
1020,0
1021,1
1022,1
1023,1
1024,0
1025,1
1026,1
1027,2
1028,4
1029,0
1030,1
1031,1
1032,2
1033,1
1034,1
1035,4
1036,4
1037,2
1038,1
1039,1
1040,1
1041,4
1042,0
1043,1
1044,1
1045,1
1046,1
1047,1
1048,2
1049,1
1050,0
1051,0
1052,1
1053,1
1054,3
1055,1
1056,1
1057,3
1058,2
1059,1
1060,4
1061,1
1062,1
1063,4
1064,2
1065,1
1066,2
1067,4
1068,1
1069,2
1071,4
1072,0
1073,4
1074,1
1075,4
1076,1
1077,1
1078,2
1079,2
1080,1
1081,1
1082,1
1083,2
1084,4
1085,1
1086,3
1087,2
1088,2
1089,1
1090,2
1091,2
1092,1
1093,3
1094,1
1095,3
1096,1
1097,1
1098,1
1099,1
1100,2
1101,1
1102,1
1103,2
1104,0
1105,1
1106,1
1107,1
1108,1
1109,3
1110,1
1111,1
1112,1
1113,1
1114,1
1115,2
1116,1
1117,4
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,2
1127,1
1128,1
1129,1
1130,2
1131,1
1132,1
1133,2
1134,4
1135,1
1136,1
1137,0
1138,1
1139,1
1140,1
1141,2
1142,1
1143,3
1144,2
1145,2
1146,1
1147,0
1148,4
1149,1
1150,3
1151,1
1152,2
1153,1
1154,1
1155,1
1156,4
1157,1
1158,0
1159,2
1160,1
1161,2
1162,1
1163,1
1164,2
1165,4
1166,1
1167,2
1168,4
1169,0
1170,1
1171,0
1172,4
1173,2
1174,1
1175,1
1176,2
1177,2
1178,1
1179,1
1180,1
1181,1
1182,2
1183,0
1184,2
1185,0
1186,4
1187,4
1188,0
1189,1
1190,2
1191,2
1192,1
1193,1
1194,4
1195,1
1196,4
1197,1
1198,1
1199,1
1200,1
1201,2
1202,2
1203,2
1204,1
1205,1
1206,4
1207,1
1208,2
1209,3
1210,2
1211,1
1212,1
1213,2
1214,1
1215,0
1216,1
1217,1
1218,2
1219,2
1220,1
1221,0
1222,2
1223,0
1224,2
1225,2
1226,0
1227,2
1228,1
1229,2
1230,1
1231,1
1232,2
1233,0
1234,2
1235,3
1236,4
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,2
1244,1
1245,4
1246,1
1247,1
1248,1
1249,3
1250,0
1251,1
1252,1
1253,1
1254,2
1255,0
1256,2
1257,1
1258,1
1259,1
1260,2
1261,1
1262,1
1263,0
1264,0
1265,1
1266,2
1267,1
1268,1
1269,1
1270,3
1271,0
1272,0
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,1
1282,2
1283,0
1284,1
1285,1
1286,4
1287,1
1288,2
1289,2
1290,3
1291,1
1292,1
1293,1
1294,1
1295,2
1296,3
1297,1
1298,2
1299,1
1300,2
1301,2
1303,0
1304,0
1305,1
1306,1
1307,2
1308,1
1309,2
1310,2
1311,1
1312,2
1313,2
1314,1
1315,1
1316,2
1317,3
1318,4
1319,4
1320,0
1321,1
1322,0
1323,1
1324,2
1325,1
1326,0
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,4
1334,1
1335,1
1336,2
1337,1
1338,2
1339,1
1340,1
1341,2
1342,1
1343,1
1344,1
1345,1
1346,2
1347,4
1348,0
1349,0
1350,1
1351,2
1352,1
1353,1
1354,1
1355,0
1356,1
1357,4
1358,4
1359,2
1360,1
1361,1
1362,0
1363,1
1364,1
1365,1
1366,1
1367,2
1368,1
1369,1
1370,2
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,2
1378,1
1379,4
1380,1
1381,1
1382,4
1383,1
1384,4
1385,1
1386,2
1387,1
1388,1
1389,1
1390,2
1391,1
1392,1
1393,2
1394,2
1395,3
1396,4
1397,1
1398,2
1399,3
1400,4
1401,1
1402,1
1403,1
1404,1
1405,1
1406,1
1407,2
1408,2
1409,0
1410,0
1411,2
1412,0
1413,1
1414,0
1415,2
1416,1
1417,2
1418,2
1419,2
1420,0
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,2
1428,1
1429,3
1430,1
1431,1
1432,1
1433,1
1434,2
1435,1
1436,1
1437,1
1438,1
1439,0
1440,0
1441,1
1442,1
1443,1
1444,4
1445,1
1446,1
1447,2
1448,1
1449,1
1450,2
1451,1
1452,1
1453,2
1454,1
1455,4
1456,1
1457,1
1458,3
1459,0
1460,2
1461,0
1462,1
1463,1
1464,3
1465,4
1466,1
1467,1
1468,4
1469,1
1470,2
1471,0
1472,1
1473,1
1474,1
1475,0
1476,1
1477,1
1478,1
1479,0
1480,4
1481,4
1482,1
1483,2
1484,1
1485,3
1486,1
1487,1
1488,2
1489,1
1490,1
1491,1
1492,1
1493,1
1494,3
1495,2
1496,1
1497,1
1498,1
1499,4
1500,1
1501,3
1502,1
1503,2
1504,1
1505,1
1506,3
1507,2
1508,1
1509,4
1510,2
1511,1
1512,2
1513,1
1514,2
1515,1
1516,4
1517,2
1518,1
1519,1
1520,1
1521,1
1522,1
1523,3
1524,1
1525,1
1526,1
1527,1
1528,4
1529,1
1530,1
1531,2
1532,1
1533,1
1534,1
1535,4
1536,4
1537,2
1538,0
1539,1
1540,1
1541,1
1542,2
1543,3
1544,1
1545,1
1546,1
1547,2
1548,1
1549,0
1550,0
1551,2
1552,2
1553,2
1554,2
1555,2
1556,1
