ID,Cluster
60,1
67,1
248,0
281,4
296,4
299,4
300,0
306,1
316,0
317,4
319,4
324,1
326,0
327,1
329,1
330,1
331,1
332,4
338,4
340,4
342,1
344,4
345,4
347,1
348,1
349,1
351,4
352,3
354,1
355,1
357,1
358,1
359,0
360,0
362,1
363,3
364,1
365,1
366,0
367,1
368,0
370,1
371,4
373,3
374,1
376,1
377,1
378,4
379,1
381,1
382,4
383,1
384,1
385,1
386,2
388,1
389,3
390,1
391,1
392,0
393,1
394,1
395,0
396,4
397,2
398,0
400,1
402,1
403,0
404,4
405,1
406,2
407,1
408,4
409,0
410,2
411,1
412,4
413,1
414,4
415,1
416,1
417,0
418,4
419,1
420,1
421,1
422,1
423,1
424,4
426,4
427,1
428,1
429,0
430,1
431,1
432,1
433,3
434,1
435,1
436,1
437,1
438,1
439,2
440,1
441,2
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,4
458,1
460,1
461,1
462,1
463,4
464,4
465,1
466,0
467,0
468,0
470,4
471,1
472,4
473,4
474,0
475,1
476,0
477,1
478,0
479,1
480,0
481,1
482,1
483,1
484,1
485,1
486,0
487,3
488,1
489,1
490,0
491,0
492,4
493,4
494,0
495,1
496,1
497,1
498,4
499,1
500,1
501,4
502,1
503,1
504,0
505,0
506,4
507,4
508,1
509,4
510,1
511,4
512,1
513,4
514,4
515,0
516,4
517,4
518,1
519,0
520,1
521,1
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,1
530,1
531,0
532,4
533,1
534,1
535,1
536,1
537,4
538,0
539,1
540,2
541,3
542,1
543,4
544,1
545,1
546,0
547,3
548,2
549,1
550,1
551,1
552,0
553,4
554,4
555,4
556,0
557,4
558,1
559,1
560,4
561,1
562,4
563,1
564,3
565,1
566,1
567,1
568,1
569,4
571,4
572,1
573,1
574,1
575,1
576,4
577,1
578,1
579,4
580,0
581,1
582,1
583,4
584,1
585,4
586,0
587,1
588,4
589,1
590,1
591,4
592,1
593,4
594,0
595,0
596,1
597,4
598,1
599,1
600,2
601,1
602,4
603,3
604,1
605,1
606,1
607,4
608,2
609,4
610,1
611,0
612,1
613,4
614,2
615,1
616,4
617,1
618,4
619,0
620,1
621,1
622,1
623,0
624,1
625,0
626,1
627,1
