ID,Cluster
177,4
228,0
246,4
247,1
256,0
260,0
268,1
274,0
281,1
282,1
290,4
292,0
295,1
296,0
300,0
301,1
304,0
308,0
310,0
313,1
317,0
318,0
320,1
321,1
322,0
324,4
326,1
327,0
329,0
330,0
331,1
333,4
334,1
335,0
336,0
337,1
338,4
340,0
341,0
342,1
343,0
344,0
345,1
347,1
348,1
352,2
353,0
355,0
356,4
357,4
358,0
359,0
360,1
361,4
362,0
363,1
364,1
365,1
366,0
367,0
368,4
369,0
370,1
371,1
372,0
373,0
374,4
375,4
376,0
378,0
379,4
380,1
381,0
383,1
384,0
385,4
386,1
387,0
388,0
389,0
390,1
391,1
392,1
393,0
394,2
395,0
396,0
397,0
398,0
399,0
400,1
401,1
402,0
403,0
404,1
406,4
407,0
408,4
409,0
410,1
411,1
412,1
413,0
414,1
415,0
416,1
417,0
418,1
419,0
420,3
421,0
422,0
423,4
424,2
425,1
426,1
427,4
428,1
429,4
430,2
431,0
432,1
433,4
434,0
435,4
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,0
444,1
445,4
446,1
447,4
448,1
449,0
450,4
451,4
452,4
453,0
454,1
455,1
456,1
457,0
458,2
459,0
460,0
461,1
462,0
463,1
464,1
465,1
466,4
467,4
468,1
469,0
470,0
471,0
472,0
473,1
474,0
475,2
476,0
477,1
478,4
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,4
487,1
488,1
489,1
490,4
491,0
492,4
493,1
494,0
495,1
496,1
497,0
498,0
499,1
500,0
501,4
502,0
503,4
504,0
505,0
506,4
507,4
508,2
509,1
510,4
511,4
512,1
513,4
514,0
515,0
516,1
517,4
518,0
519,1
520,0
521,1
522,4
523,1
524,0
525,4
526,4
527,4
528,1
529,1
530,0
531,0
532,0
533,0
534,1
535,4
536,0
537,1
538,0
539,1
540,1
541,0
542,4
543,0
544,1
545,4
546,2
547,0
548,4
549,0
550,0
551,0
552,2
553,0
554,4
555,0
556,1
557,1
558,1
559,1
560,1
561,1
562,4
563,0
564,1
565,1
566,0
567,1
568,0
569,1
570,1
571,4
572,1
573,1
574,0
575,2
576,1
577,4
578,0
579,0
580,0
581,4
582,0
583,0
584,0
585,0
586,0
587,0
588,4
589,0
590,0
591,1
592,0
593,0
594,0
595,4
596,4
597,1
598,0
599,1
600,4
601,1
602,1
603,1
604,0
605,1
606,1
607,0
608,1
609,0
610,4
611,1
612,0
613,0
614,0
615,1
616,0
617,0
618,1
619,3
620,0
621,0
622,1
623,1
624,0
625,4
626,1
627,1
628,4
630,1
631,4
632,0
633,4
634,1
635,4
636,0
637,0
638,0
639,4
640,0
641,0
642,0
643,4
644,0
645,0
646,2
647,0
648,0
649,1
650,0
651,0
652,0
653,1
654,1
655,2
656,4
657,4
658,1
659,1
660,0
661,1
662,1
663,1
664,0
665,1
666,1
667,1
668,1
669,4
670,0
671,0
672,4
673,0
674,1
675,0
676,1
677,0
678,1
679,0
680,1
681,4
682,1
683,1
684,1
685,1
686,0
687,1
688,1
689,0
690,1
691,1
692,4
693,0
694,0
695,0
696,0
697,1
698,1
699,1
700,0
701,1
702,0
703,0
704,0
705,0
706,0
707,4
708,0
709,4
710,4
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,4
719,0
720,1
721,0
722,1
723,3
724,1
725,0
726,0
727,0
728,4
729,1
730,0
731,1
732,4
733,0
734,1
735,1
736,0
737,1
738,0
739,0
740,1
741,0
742,0
743,1
744,1
745,0
746,1
747,1
748,0
749,0
750,4
751,0
752,0
753,1
