ID,Cluster
6,1
8,1
38,1
99,1
101,1
112,1
148,4
156,1
160,1
183,1
191,1
198,1
199,1
201,4
215,1
219,1
220,0
224,1
229,1
232,0
233,0
234,1
251,1
253,1
255,0
261,1
264,1
265,1
266,4
267,1
268,1
270,0
271,1
272,1
274,1
277,1
278,0
280,1
281,1
282,1
283,0
287,1
288,0
289,0
290,1
293,1
294,1
295,4
296,1
298,4
299,1
300,1
301,1
305,1
306,4
307,1
308,0
309,1
311,4
312,4
314,1
316,1
317,4
318,4
319,1
320,1
321,1
322,1
323,1
325,1
326,1
327,1
328,1
329,4
330,0
331,1
333,1
334,1
335,0
336,1
337,1
339,4
340,1
341,1
342,1
343,4
344,4
345,0
346,4
347,4
348,1
349,1
350,1
351,4
352,0
353,0
354,0
356,1
357,1
358,4
359,4
360,1
361,1
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,0
377,1
378,1
379,1
380,4
381,1
382,1
383,1
384,4
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,4
394,1
395,1
396,1
397,1
398,1
399,4
400,0
401,0
402,4
403,1
405,1
406,4
407,1
408,0
409,1
410,4
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,4
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,1
435,4
436,4
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,4
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,1
465,1
466,1
467,1
468,1
469,4
470,1
471,0
472,4
473,1
474,1
475,4
476,1
477,4
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,1
488,4
489,1
490,0
491,0
492,1
493,4
494,4
495,0
496,1
497,4
498,1
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,1
513,4
514,1
515,4
516,0
517,1
518,1
519,4
520,1
521,1
522,1
523,1
524,4
525,1
526,1
527,0
528,1
529,1
530,4
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,4
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,0
565,1
566,4
567,1
568,1
569,4
570,0
571,1
572,4
573,1
574,0
575,1
576,4
577,1
578,0
579,1
580,1
581,1
582,4
583,1
584,1
585,1
586,1
587,0
588,4
589,0
590,1
591,1
592,4
593,1
594,1
595,1
596,0
597,4
598,1
599,4
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,0
609,1
610,0
611,1
612,0
613,4
614,1
615,0
616,1
617,0
618,0
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,1
627,1
628,1
629,1
630,4
631,0
632,4
633,1
634,1
635,1
636,1
637,1
638,1
639,0
640,1
641,1
642,0
643,1
644,1
645,1
646,1
647,4
648,4
649,1
650,1
651,0
652,4
653,1
654,0
655,0
656,0
657,0
658,1
659,4
660,1
661,1
662,1
663,1
664,1
665,1
666,4
667,1
668,4
669,1
670,4
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,0
681,4
682,1
683,0
684,1
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,4
696,1
697,4
698,1
699,4
700,1
701,0
702,1
703,0
704,4
705,4
706,1
707,1
708,1
709,4
710,1
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,1
720,0
721,0
722,1
723,1
724,1
725,4
726,1
727,0
728,0
729,0
730,1
731,0
732,4
733,1
734,0
735,1
736,1
737,1
738,4
739,1
740,1
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,0
757,1
758,1
759,1
760,0
761,1
762,1
763,1
764,1
765,0
766,4
767,1
768,1
769,0
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,4
778,1
779,0
780,1
781,4
782,1
783,1
784,1
785,4
786,1
787,4
788,0
789,1
790,1
791,1
792,1
793,1
794,1
795,0
796,0
797,1
798,1
799,0
800,1
801,1
802,0
803,1
804,1
805,1
806,1
807,1
808,0
809,1
810,1
811,1
812,4
813,1
814,1
815,4
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,0
825,1
826,1
827,1
828,1
829,4
830,4
831,0
832,1
833,1
834,1
835,1
836,4
837,4
838,4
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,0
852,1
853,1
854,1
855,1
856,1
857,1
858,0
859,1
860,1
861,1
862,1
863,1
864,1
865,0
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,4
877,0
878,0
879,0
880,1
881,1
882,0
883,1
884,1
885,1
886,4
887,1
888,0
889,1
890,1
891,1
892,1
893,0
894,1
895,4
896,4
897,1
898,1
899,1
900,1
901,4
902,0
903,1
904,1
905,1
906,4
907,1
908,1
909,0
910,1
911,1
912,0
913,1
914,0
915,1
916,1
917,1
918,1
919,1
920,4
921,1
922,1
923,1
924,4
925,4
926,1
927,4
928,1
929,1
930,0
931,1
932,1
933,4
934,0
935,0
936,1
937,0
938,4
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,0
948,1
949,1
950,1
951,4
952,1
953,4
954,1
955,1
956,1
957,4
958,0
959,1
960,1
961,0
962,1
963,0
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,0
973,1
974,1
975,0
976,0
977,0
978,1
979,0
980,1
981,1
982,0
983,4
984,1
985,0
986,1
987,1
988,0
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,4
997,0
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,0
1008,1
1009,4
1010,0
1011,1
1012,1
1013,1
1014,0
1015,1
1016,1
1017,0
1018,1
1019,1
1020,0
1021,1
1022,0
1023,1
1024,1
1025,0
1026,1
1027,1
1028,1
1029,0
1030,1
1031,1
1032,4
1033,1
1034,0
1035,1
1036,1
1037,1
1038,1
1039,4
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,0
1048,1
1049,1
1051,1
1052,4
1053,0
1054,4
1055,1
1056,4
1057,4
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,0
1071,1
1072,1
1073,1
1074,1
1075,0
1076,0
1077,1
1078,1
1079,0
1080,1
1081,0
1082,4
1083,1
1084,4
1085,1
1086,0
1087,1
1088,0
1089,1
1090,1
1091,4
1092,0
1093,0
1094,0
1095,1
1096,1
1097,0
1098,1
1099,0
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,4
1110,1
1111,1
1112,0
1113,1
1114,0
1115,1
1116,1
1117,4
1118,1
1119,1
1120,1
1121,1
1122,0
1123,1
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,0
1131,1
1132,1
1133,1
1134,1
1135,0
1136,0
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,1
1149,0
1150,1
1151,4
1152,1
1153,1
1154,1
1155,4
1156,1
1157,1
1158,0
1159,0
1160,1
1161,4
1162,1
1163,0
1164,1
1165,1
1166,1
1167,4
1168,1
1169,1
1170,1
1171,1
1172,1
1173,0
1174,1
1175,1
1176,1
1177,1
1178,0
1179,1
1180,0
1181,1
1182,1
1183,1
1184,1
1185,0
1186,1
1187,0
1188,1
