ID,Cluster
77,0
89,1
90,1
91,0
95,0
96,1
98,4
99,0
100,1
102,4
103,1
104,4
105,1
106,1
107,4
108,1
110,1
111,1
112,4
113,4
114,1
115,1
116,4
117,1
118,4
119,4
120,0
121,1
122,1
123,1
124,0
125,4
126,0
127,1
128,0
129,0
130,4
131,4
132,4
133,1
134,1
135,1
136,0
137,4
138,1
139,1
140,1
141,1
142,4
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,4
153,1
154,4
155,1
156,4
157,1
158,1
159,1
160,1
161,1
162,1
163,0
164,1
165,1
166,4
167,1
168,1
169,4
170,1
171,4
172,1
173,4
174,1
175,1
176,1
177,0
178,1
179,4
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,0
188,4
189,4
190,1
191,4
192,0
193,1
194,0
195,0
196,0
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,4
205,1
206,4
207,4
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,0
217,1
218,0
219,1
220,4
221,1
222,1
223,0
224,3
225,4
226,1
227,1
228,1
229,4
230,1
231,1
232,0
233,1
234,4
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,4
243,4
244,1
245,4
246,1
247,1
248,4
249,1
250,1
251,0
252,1
253,4
254,0
255,1
256,4
257,1
258,4
259,4
260,1
261,4
262,0
263,4
264,0
265,1
266,0
267,4
268,0
269,4
270,4
271,1
272,1
273,1
274,0
275,1
276,4
277,4
278,1
279,1
280,1
281,4
282,4
283,1
284,1
285,3
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,4
294,1
295,1
296,4
297,1
298,4
299,1
300,0
301,1
302,0
303,4
304,1
305,1
306,4
307,4
308,1
309,0
310,1
311,1
312,4
313,1
314,4
315,4
316,1
317,4
318,0
319,0
320,0
321,4
322,4
323,1
324,1
325,1
326,1
327,1
328,0
329,4
330,1
331,1
332,0
333,4
334,0
335,4
336,4
337,1
338,4
339,0
340,4
341,0
342,4
343,0
344,4
345,4
346,1
347,1
348,1
349,1
350,1
351,1
352,4
353,1
354,1
355,0
356,1
357,4
358,1
359,4
360,1
361,1
362,1
363,1
364,1
365,4
366,1
367,1
368,1
369,1
370,4
371,1
372,1
374,4
375,4
376,0
377,4
378,1
379,1
380,1
381,1
382,0
383,4
384,4
385,0
386,1
387,1
388,1
389,0
390,0
391,4
393,0
394,1
395,1
396,1
397,1
398,0
399,4
400,1
401,4
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,0
413,1
414,1
415,1
416,4
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,4
426,4
427,0
428,4
429,4
430,1
431,4
432,1
433,1
434,1
435,4
436,0
437,4
438,1
439,1
440,0
441,1
442,4
443,1
444,1
445,1
446,0
447,4
448,1
449,1
450,0
451,1
452,0
453,4
454,1
455,0
456,0
457,1
458,1
459,1
460,1
461,4
462,0
463,1
464,4
465,1
466,1
467,1
468,4
469,0
470,4
471,1
472,4
474,1
475,1
476,1
477,0
478,1
479,4
480,1
481,2
482,1
483,1
484,4
485,4
486,1
487,1
488,1
489,1
490,4
491,0
492,0
493,0
494,4
495,4
496,4
497,1
498,1
499,4
500,4
501,1
502,1
503,1
504,1
505,0
506,1
507,0
508,0
509,3
510,0
511,1
512,0
513,4
514,1
515,4
516,4
517,0
518,4
519,4
520,1
521,4
522,4
523,1
524,4
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,4
533,4
534,1
535,4
536,1
537,1
538,4
539,4
540,4
541,0
542,1
543,4
544,4
545,4
546,4
547,4
548,0
549,1
550,4
551,1
552,0
553,4
554,1
555,4
556,1
557,4
558,1
560,1
561,4
562,1
563,4
564,1
565,1
567,0
568,4
569,1
570,1
571,1
572,0
573,1
574,1
575,4
576,1
577,4
578,4
579,4
580,1
581,1
582,1
583,1
584,1
585,4
586,1
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,1
595,4
596,1
597,1
598,4
599,0
600,1
601,1
602,1
603,4
604,1
605,1
606,4
607,0
608,4
609,1
610,4
611,1
612,4
613,4
614,1
615,1
616,1
617,4
618,4
619,1
620,0
621,1
622,4
623,0
624,4
625,4
626,0
627,4
628,1
629,4
630,0
631,1
632,1
633,4
634,1
635,1
636,4
637,1
638,0
639,4
640,4
641,1
642,4
643,4
644,1
645,1
646,4
647,1
648,0
649,0
650,1
651,1
652,1
653,1
654,1
655,4
656,1
657,0
658,1
659,4
660,1
661,1
662,4
663,1
664,1
665,4
666,4
667,1
669,1
670,4
671,4
672,0
673,4
674,1
675,0
676,1
677,0
678,4
679,1
680,1
681,0
682,4
683,1
684,0
685,1
686,1
687,0
688,4
689,4
690,4
691,1
692,4
693,4
694,4
695,4
696,4
697,1
698,4
699,4
700,4
701,1
702,0
703,1
704,1
705,4
706,1
707,0
708,0
709,0
710,0
711,0
712,1
713,4
714,4
715,1
716,1
717,1
719,0
720,1
721,1
722,1
723,4
724,0
725,4
726,1
727,4
728,4
729,0
730,1
731,4
732,0
733,1
734,1
735,4
736,0
737,1
738,0
739,4
740,4
741,0
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,0
751,1
752,4
753,4
754,4
755,1
756,1
757,1
758,1
759,0
760,4
761,1
762,4
763,4
764,4
765,0
766,4
767,4
768,0
769,4
770,4
771,1
772,1
773,1
774,4
775,1
776,0
777,4
778,1
779,0
780,4
781,0
782,1
783,4
784,1
785,4
786,4
787,1
788,1
789,1
790,0
791,1
792,4
793,1
794,0
795,1
796,4
797,4
798,1
799,1
800,1
801,4
802,1
803,0
804,1
805,1
806,0
807,4
808,4
809,4
810,1
811,1
812,1
813,1
814,4
815,4
816,0
817,4
818,1
819,1
820,4
821,1
822,1
823,4
824,4
825,1
826,4
827,1
828,1
829,4
830,4
831,4
832,1
833,1
834,0
835,0
836,0
837,0
838,1
839,1
840,4
841,1
842,1
843,1
844,1
845,1
846,4
847,1
848,1
849,1
850,4
851,1
852,1
853,4
854,1
855,4
856,1
857,1
858,1
859,0
860,1
861,1
862,1
863,0
864,1
865,1
866,1
867,1
868,4
869,1
870,0
871,4
872,1
873,1
874,0
875,1
876,0
877,1
878,0
879,1
880,1
881,4
882,0
883,1
884,1
885,4
886,1
887,4
888,4
889,4
890,4
891,4
892,0
893,4
894,1
895,1
896,1
897,1
898,1
899,0
900,1
901,1
902,0
903,1
904,4
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,0
922,0
923,4
924,4
925,0
926,1
927,1
928,4
929,1
930,1
931,0
932,0
933,0
934,1
935,0
936,1
937,1
938,4
939,4
940,4
941,1
942,1
943,1
944,0
945,1
946,4
947,1
948,1
949,1
950,1
951,4
952,1
953,0
954,1
955,1
956,1
957,0
958,0
959,1
960,1
961,0
962,1
963,1
964,0
965,0
966,1
967,1
968,1
969,0
970,1
971,1
972,1
973,4
974,1
975,1
976,0
977,1
978,4
979,1
980,1
981,4
982,4
983,4
984,4
985,1
986,0
987,1
988,0
989,1
990,1
991,1
992,1
993,0
994,4
995,1
996,4
997,0
998,1
999,4
1000,1
1001,4
1002,4
1003,4
1004,0
1005,4
1006,0
1007,4
1008,1
1009,1
1010,1
1011,0
1013,1
1014,1
1015,0
1016,1
1017,1
1018,1
1019,4
1020,1
1021,1
1022,4
1023,1
1024,1
1025,4
1026,0
1027,0
1028,4
1029,4
1030,1
1031,4
1032,0
1033,1
1034,4
1035,4
1036,4
1037,4
1038,1
1040,0
1041,0
1042,4
1043,4
1044,1
1045,1
1046,1
1047,0
1048,4
1049,1
1050,1
1051,4
1052,0
1053,4
1054,1
1055,4
1056,1
1057,1
1058,1
1059,4
1060,1
1061,4
1062,4
1063,1
1064,1
1065,0
1066,4
1067,1
1068,0
1069,1
1070,1
1071,0
1072,1
1073,4
1074,0
1075,4
1076,0
1077,0
1078,1
1079,0
1080,1
1081,0
1082,0
1083,1
1084,1
1085,4
1086,0
1087,0
1088,1
1089,1
1090,1
1091,1
1092,0
1093,4
1094,1
1095,1
1096,1
1097,1
1098,1
1099,0
1100,4
1101,4
1102,0
1103,4
1104,1
1105,1
1106,1
1107,1
1108,4
1109,1
1110,4
1111,1
1112,1
1113,4
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,4
1123,1
1124,0
1125,4
1126,4
1127,1
1128,1
1129,1
1130,4
1131,0
1132,1
1133,4
1134,0
1135,1
1136,1
1137,1
1138,0
1139,4
1140,4
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,4
1152,1
1153,4
1154,1
1155,1
1156,0
1157,1
1158,4
1159,1
1160,4
1161,4
1162,1
1163,4
1164,1
1165,1
1166,1
1167,1
1168,0
1169,1
1170,4
1171,1
1172,0
1173,1
1174,4
1175,1
1176,1
1177,1
1178,1
1180,4
1181,0
1182,4
1183,0
1184,1
1185,4
1186,4
1187,0
1188,4
1189,0
1190,0
1191,1
1192,1
1193,1
1194,1
1195,0
1196,4
1197,0
1198,1
1199,0
1200,1
1201,1
1202,4
1203,1
1204,1
1205,0
1206,1
1207,1
1208,4
1209,1
1210,1
1211,1
1212,0
1213,1
1214,4
1216,1
1217,1
1218,4
1219,1
1220,1
1221,1
1222,4
1223,0
1224,4
1225,4
1226,1
1227,1
1228,1
1229,1
1230,1
1231,0
1232,1
1233,4
1234,1
1235,0
1236,1
1237,1
1238,1
1239,1
1240,1
1241,0
1242,4
1243,0
1244,4
1245,4
1246,1
1247,4
1248,4
1249,1
1250,4
1251,4
1252,1
1253,1
1254,1
1255,1
1256,4
1257,0
1258,0
1259,1
1260,1
1261,1
1262,0
1263,1
1264,1
1265,1
1266,1
1267,1
1268,1
1269,4
1270,1
1271,1
1272,1
1273,4
1274,4
1275,0
1276,1
1277,4
1278,4
1279,1
1280,1
1281,1
1282,4
1283,1
1284,1
1285,4
1286,4
1287,4
1288,1
1289,0
1290,1
1291,1
1292,1
1293,1
1294,1
1295,0
1296,4
1297,4
1298,0
1299,1
1300,4
1301,0
1302,4
1303,1
1304,1
1305,1
1306,1
1307,1
1308,0
1309,1
1311,1
1312,1
1313,1
1314,0
1315,1
1316,0
1317,1
1318,1
1319,4
1320,4
1321,1
1322,1
1323,0
1324,4
1325,1
1326,0
1327,1
1328,1
1329,4
1330,1
1331,4
1332,1
1333,0
1334,1
1335,1
1336,1
1337,4
1338,1
1339,1
1340,1
1341,0
1342,0
1343,0
1344,1
1345,0
1346,0
1347,4
1348,1
1349,4
1350,1
1351,4
1352,0
1353,4
1354,1
1355,4
1356,0
1357,1
1358,1
1359,1
1360,0
1361,4
1362,0
1363,0
1364,0
1365,1
1366,1
1367,0
1368,1
1369,1
1370,4
1371,0
1372,4
1373,4
1374,4
1375,1
1376,0
1377,1
1378,1
1379,1
1380,0
1381,0
1382,4
1383,0
1384,0
1385,0
1386,4
1387,4
1388,1
1389,4
1390,4
1391,4
1392,1
1393,0
1394,1
1395,1
1396,4
1397,3
1398,1
1399,4
1400,1
1401,1
1402,4
1403,0
1404,1
1405,0
1406,1
1407,4
1408,4
1409,4
1410,1
1411,0
1412,1
1413,1
1414,1
1415,4
1416,1
1417,0
1418,1
1419,4
1420,4
1421,1
1422,1
1423,1
1424,0
1425,1
1426,1
1427,1
1428,4
1429,0
1430,4
1431,1
1432,1
1433,4
1434,0
1435,4
1436,1
1437,1
1438,1
1439,4
1440,1
1441,4
1442,4
1443,1
1444,4
1445,4
1446,0
1447,1
1448,1
1449,0
1450,1
1451,1
1452,1
1453,4
1454,4
1455,1
1456,1
1457,4
1458,1
1459,1
1460,0
1461,4
1463,1
1464,1
1465,0
1466,0
1467,1
1468,1
1469,1
1470,1
1471,4
1472,4
1473,1
1474,4
1475,1
1476,4
1477,4
1478,4
1479,1
1480,4
1481,0
1482,1
1483,4
1484,4
1485,0
1486,4
1487,1
1488,4
1489,4
1490,0
1491,1
1492,0
1493,4
1494,0
1495,1
1496,4
1497,0
1498,1
1499,0
1500,4
1501,0
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,4
1510,1
1511,1
1512,4
1513,4
1514,1
1515,4
1516,1
1517,4
1518,4
1519,1
1520,1
1521,4
1522,1
1523,1
1524,0
1525,4
1526,1
1527,4
1528,1
1529,1
1530,4
1531,4
1532,1
1533,0
1534,1
1535,1
1536,0
1537,4
1538,4
1539,0
1540,4
1541,1
1542,1
1543,1
1544,4
1545,0
1546,0
1547,1
1548,0
1549,1
1550,0
1551,1
1552,1
1553,1
1554,0
1555,0
1556,0
1557,1
1558,0
1559,4
1560,1
1561,4
1562,0
1563,0
1564,1
1565,1
1566,4
1567,1
1568,4
1569,4
1570,1
1571,0
1572,1
1573,1
1574,4
1575,1
1576,4
1577,1
1578,1
1579,1
1580,4
1581,4
1582,1
1583,1
1584,4
1585,1
1586,1
1587,1
1588,0
1589,4
1590,0
1591,1
1592,0
1593,0
1594,4
1596,0
1597,4
1598,1
1599,1
1600,0
1601,4
1602,1
1603,1
1604,4
1605,1
1606,4
1607,1
1608,1
1609,1
1610,0
1611,0
1612,0
1613,1
1614,0
1615,1
1616,0
1617,1
1618,4
1619,1
1620,4
1621,1
1622,4
1623,0
1624,1
1625,4
1626,0
1627,0
1628,4
1629,0
1630,1
1631,1
1632,1
1633,4
1634,4
1635,1
1636,4
1637,0
1638,1
1639,1
1640,1
1641,0
1642,1
1643,1
1644,4
1645,4
1646,0
1647,4
1648,0
1649,4
1650,4
1651,1
1652,1
1653,1
1654,1
1655,0
1656,1
1657,4
1658,0
1659,1
1660,4
1661,1
1662,1
1663,0
1664,1
1665,4
1666,1
1667,4
1668,1
1669,4
1670,4
1671,3
1672,0
1673,4
1674,0
1675,0
1676,4
1677,4
1678,0
1679,4
1680,1
1681,0
1682,0
1683,1
1684,1
1685,1
1686,1
1687,1
1688,4
1689,1
1690,0
1691,4
1692,4
1693,0
1694,0
1695,4
1696,1
1697,0
1698,1
1699,1
1700,4
1701,0
1702,0
1703,0
1704,1
1706,1
1707,1
1708,1
1709,1
1710,1
1711,4
1712,4
1713,1
1714,1
1715,1
1716,4
1717,4
1718,1
1719,1
1720,0
1721,0
1722,4
1723,1
1724,0
1725,4
1726,1
1727,1
1728,0
1729,1
1730,1
1731,4
1732,1
1733,0
1734,0
1735,4
1736,1
1737,1
1738,4
1739,1
1740,1
1741,1
1742,0
1743,1
1744,1
1745,0
1746,1
1747,1
1748,1
1749,4
1750,1
1751,0
1752,1
1753,4
1754,4
1755,1
1756,1
1757,1
1758,1
1759,0
1760,1
1761,0
1762,1
1763,1
1764,1
1765,0
1766,1
1767,4
1768,1
1769,1
1770,1
1771,4
1772,0
1773,4
1774,0
1775,1
1776,1
1777,1
1778,1
1779,4
1780,4
1781,0
1782,4
1783,1
1784,1
1785,1
1786,0
1787,0
1788,1
1789,4
1790,1
1791,1
1792,0
1793,0
1794,4
1795,1
1796,1
1797,1
1798,1
1800,1
1801,1
1802,0
1803,4
1804,1
1805,4
1806,1
1807,1
1808,1
1809,0
1810,1
1811,4
1812,4
1813,1
1814,0
1815,1
1816,1
1817,1
1818,1
1819,0
1820,1
1821,0
1822,1
1823,1
1824,0
1825,4
1826,1
1827,1
1828,0
1829,0
1830,0
1831,0
1832,1
1833,1
1834,1
1835,0
1836,1
1837,1
1838,4
1839,0
1840,0
1841,0
1842,0
1843,1
1844,0
1845,0
1846,1
1847,1
1848,0
1849,0
1850,4
1851,1
1852,4
1853,0
1854,4
1855,1
1856,0
1857,4
1858,1
1859,4
1860,1
1861,1
1862,1
1863,1
1864,0
1865,0
1866,4
1867,4
1868,4
1869,0
1870,1
1871,1
1872,0
1873,0
1874,0
1875,1
1876,0
1878,1
1879,1
1880,4
1881,4
1882,4
1883,0
1884,1
1885,1
1886,4
1887,0
1888,4
1889,4
1890,4
1891,4
1892,0
1893,1
1894,1
1895,4
