ID,Cluster
139,4
140,4
143,4
144,4
145,4
146,0
148,1
149,0
151,0
152,4
156,1
157,0
158,4
159,4
161,1
163,4
164,4
165,1
170,4
173,1
174,0
175,0
176,4
177,0
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,4
187,4
188,4
189,0
191,0
192,0
193,4
194,0
195,0
196,0
197,0
198,4
199,4
200,4
201,4
202,1
204,4
205,0
206,4
207,0
208,0
209,4
210,4
211,4
212,1
213,0
214,4
215,4
216,4
217,0
218,4
219,1
221,0
222,4
223,1
224,0
225,4
226,1
227,4
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,4
241,0
242,4
243,4
244,4
245,1
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,1
254,4
255,3
256,1
257,4
258,4
259,0
260,4
261,4
262,4
263,0
264,4
265,4
267,1
268,4
269,4
270,4
271,4
272,0
273,1
274,1
275,4
276,4
277,0
278,4
279,4
280,1
281,1
282,4
283,4
284,0
285,1
286,4
287,4
288,1
289,4
290,1
291,1
292,4
293,0
294,0
295,1
296,1
297,0
298,0
299,1
300,1
301,0
302,4
303,4
304,0
306,1
308,0
309,0
310,4
311,4
312,4
313,1
314,4
315,4
316,4
317,0
318,4
319,4
320,1
321,0
322,1
323,0
324,1
325,0
326,1
327,1
328,1
329,4
330,0
331,4
332,4
333,0
334,0
335,4
336,0
337,4
338,1
339,4
340,1
341,4
342,0
343,3
344,1
345,1
346,4
347,0
348,4
349,4
350,4
351,4
352,4
353,4
354,4
355,1
356,4
357,1
358,1
359,4
360,4
361,0
362,0
363,4
364,1
365,4
366,4
367,4
368,4
369,0
370,0
371,4
372,1
373,4
374,4
375,4
376,1
377,0
378,0
379,0
380,4
381,4
382,4
383,0
384,4
385,0
386,4
387,1
388,4
389,1
390,4
391,1
392,0
393,4
394,4
395,1
396,1
397,1
398,4
399,3
400,1
401,4
402,4
403,4
404,4
405,0
406,1
407,4
408,1
409,4
410,4
411,4
412,4
414,4
415,1
416,4
417,0
418,4
419,4
420,4
421,3
422,4
423,4
424,4
425,1
426,4
427,4
428,4
429,1
430,0
431,1
432,4
433,0
434,1
435,1
436,0
437,2
438,4
439,4
440,1
441,4
442,4
443,1
444,4
445,0
446,4
447,4
448,1
449,1
450,0
451,4
452,4
453,1
454,4
455,0
456,4
457,1
458,4
459,0
460,0
461,1
462,4
463,1
464,4
465,1
466,0
467,4
468,1
469,4
470,4
471,1
472,1
473,4
474,1
475,0
476,1
477,4
478,4
479,1
480,0
481,0
482,4
483,4
484,4
485,4
486,1
487,1
488,0
489,0
490,1
491,0
492,1
493,4
494,1
495,0
496,0
497,0
498,1
499,4
500,1
501,0
502,4
503,0
504,4
505,0
506,1
507,4
508,1
509,1
510,4
511,4
512,4
513,1
514,4
515,4
516,0
517,4
518,0
519,4
520,1
521,4
522,4
523,4
524,1
525,4
526,0
527,0
528,4
529,1
530,4
531,1
532,4
533,0
534,4
535,1
536,0
537,4
538,4
539,0
540,4
541,1
542,4
543,4
544,4
545,1
546,1
547,0
548,4
549,1
550,4
551,4
552,1
553,4
554,4
555,0
556,0
557,4
558,4
559,0
560,0
561,1
562,4
563,4
564,4
565,4
566,4
567,0
568,1
569,4
570,4
571,0
572,4
573,1
574,4
575,1
576,4
577,1
578,4
579,1
580,1
581,4
582,1
583,0
584,4
585,1
586,4
587,4
588,4
589,4
590,4
591,4
592,4
593,0
594,4
595,1
596,4
597,4
598,1
599,0
600,4
601,4
602,4
603,0
604,4
605,1
606,4
607,4
608,4
609,1
610,1
611,1
612,4
613,4
614,4
615,1
616,0
617,0
618,4
619,1
620,1
621,4
622,4
623,0
624,1
625,4
626,4
627,1
628,4
629,4
630,1
631,1
632,0
633,4
634,1
635,4
636,4
637,4
638,4
639,1
640,0
641,0
642,1
643,0
644,1
645,4
646,4
647,4
648,4
649,4
650,4
651,0
652,4
653,4
654,1
655,4
656,1
657,4
658,0
659,1
660,4
661,4
662,1
663,4
664,0
665,1
666,0
667,1
668,0
669,1
670,1
671,0
673,4
674,1
675,4
676,4
677,4
678,1
679,1
680,0
681,0
682,4
683,0
684,4
685,4
686,4
687,4
688,1
689,4
690,1
691,1
