ID,Cluster
70,1
96,1
97,1
98,1
99,1
100,1
103,1
107,4
108,1
109,1
111,1
113,1
114,1
115,1
116,0
120,1
121,1
122,1
123,1
124,1
126,1
127,4
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
139,1
140,1
141,1
142,1
144,4
145,1
146,1
147,0
148,1
149,0
151,4
152,1
153,1
154,1
156,1
157,1
158,1
159,1
160,1
161,1
162,4
163,1
164,1
165,1
166,0
167,1
169,1
170,1
171,1
172,1
173,1
174,3
175,3
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,4
184,0
185,4
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,4
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,4
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,4
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,1
230,4
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,1
242,4
243,1
244,1
245,0
246,1
247,4
248,1
249,1
250,4
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,3
273,0
274,4
275,4
276,1
277,1
278,4
279,1
280,0
281,1
282,1
283,1
284,1
285,0
286,3
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,3
316,1
317,1
318,1
319,1
320,1
321,1
322,4
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,4
344,4
345,1
346,0
347,1
348,1
349,1
350,1
351,4
352,1
353,1
354,4
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,4
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,3
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,4
423,1
424,1
425,1
426,4
